Employee Name,Month,Year,Month_Number,Start Date,Tenure_Days,Tenure_Range,Department,Org,Manager,Level distinction,Country
Employee 3,February 2022,2022,2,2019-05-20,1015,1-5 years,Product Engineering,R&D,Employee 999,L6 Early,United States
Employee 32,February 2022,2022,2,2022-02-07,21,1-30 days,Core Data Ingestion,R&D,Employee 151,L4 Early,Egypt
Employee 5,February 2022,2022,2,2020-01-27,763,1-5 years,Data Engineering,R&D,Employee 999,M5 Veteran,United States
Employee 8,February 2022,2022,2,2020-11-30,455,1-5 years,Product Engineering,R&D,Employee 41,L4 Seasoned,United States
Employee 10,March 2022,2022,3,2021-01-28,427,1-5 years,Data Platform Engineering,R&D,Employee 159,L5 Early,United States
Employee 1143,March 2022,2022,3,2021-10-18,164,3-6 months,Software Engineering,R&D,Employe 2143,M4 Veteran,United States
Employee 1189,March 2022,2022,3,2022-02-07,52,1-3 months,Solutions Engineering,Go-To-Market,Employe 2189,L5 Early,United States
Employee 1190,March 2022,2022,3,2022-02-14,45,1-3 months,Software Engineering,R&D,Employe 2190,L3 Seasoned,United States
Employee 1236,March 2022,2022,3,2021-04-29,336,6 months-1 year,Data Platform Engineering,R&D,Employe 2236,L4 Early,United States
Employee 1237,March 2022,2022,3,2021-12-22,99,3-6 months,Data Platform Engineering,R&D,Employe 2237,L3 Seasoned,United States
Employee 1251,March 2022,2022,3,2021-08-02,241,6 months-1 year,Finance,Operations,Employe 2251,M6 Early,United States
Employee 15,March 2022,2022,3,2021-08-01,242,6 months-1 year,AI Products,R&D,Employee 183,L4 Veteran,Egypt
Employee 16,March 2022,2022,3,2021-08-18,225,6 months-1 year,Core Data Ingestion,R&D,Employee 151,L4 Seasoned,United States
Employee 17,March 2022,2022,3,2021-08-23,220,6 months-1 year,Data Product Engineering,R&D,Employee 157,L4 Veteran,United States
Employee 3,March 2022,2022,3,2019-05-20,1046,1-5 years,Product Engineering,R&D,Employee 999,L6 Early,United States
Employee 32,March 2022,2022,3,2022-02-07,52,1-3 months,Core Data Ingestion,R&D,Employee 151,L4 Early,Egypt
Employee 5,March 2022,2022,3,2020-01-27,794,1-5 years,Data Engineering,R&D,Employee 999,M5 Veteran,United States
Employee 8,March 2022,2022,3,2020-11-30,486,1-5 years,Product Engineering,R&D,Employee 41,L4 Seasoned,United States
Employee 10,April 2022,2022,4,2021-01-28,457,1-5 years,Data Platform Engineering,R&D,Employee 159,L5 Early,United States
Employee 1143,April 2022,2022,4,2021-10-18,194,6 months-1 year,Software Engineering,R&D,Employe 2143,M4 Veteran,United States
Employee 1189,April 2022,2022,4,2022-02-07,82,1-3 months,Solutions Engineering,Go-To-Market,Employe 2189,L5 Early,United States
Employee 1190,April 2022,2022,4,2022-02-14,75,1-3 months,Software Engineering,R&D,Employe 2190,L3 Seasoned,United States
Employee 1236,April 2022,2022,4,2021-04-29,366,1-5 years,Data Platform Engineering,R&D,Employe 2236,L4 Early,United States
Employee 1237,April 2022,2022,4,2021-12-22,129,3-6 months,Data Platform Engineering,R&D,Employe 2237,L3 Seasoned,United States
Employee 1251,April 2022,2022,4,2021-08-02,271,6 months-1 year,Finance,Operations,Employe 2251,M6 Early,United States
Employee 15,April 2022,2022,4,2021-08-01,272,6 months-1 year,AI Products,R&D,Employee 183,L4 Veteran,Egypt
Employee 16,April 2022,2022,4,2021-08-18,255,6 months-1 year,Core Data Ingestion,R&D,Employee 151,L4 Seasoned,United States
Employee 17,April 2022,2022,4,2021-08-23,250,6 months-1 year,Data Product Engineering,R&D,Employee 157,L4 Veteran,United States
Employee 3,April 2022,2022,4,2019-05-20,1076,1-5 years,Product Engineering,R&D,Employee 999,L6 Early,United States
Employee 32,April 2022,2022,4,2022-02-07,82,1-3 months,Core Data Ingestion,R&D,Employee 151,L4 Early,Egypt
Employee 40,April 2022,2022,4,2022-04-11,19,1-30 days,Data Platform Engineering,R&D,Employee 159,L4 Veteran,United States
Employee 5,April 2022,2022,4,2020-01-27,824,1-5 years,Data Engineering,R&D,Employee 999,M5 Veteran,United States
Employee 8,April 2022,2022,4,2020-11-30,516,1-5 years,Product Engineering,R&D,Employee 41,L4 Seasoned,United States
Employee 10,May 2022,2022,5,2021-01-28,488,1-5 years,Data Platform Engineering,R&D,Employee 159,L5 Early,United States
Employee 1143,May 2022,2022,5,2021-10-18,225,6 months-1 year,Software Engineering,R&D,Employe 2143,M4 Veteran,United States
Employee 1189,May 2022,2022,5,2022-02-07,113,3-6 months,Solutions Engineering,Go-To-Market,Employe 2189,L5 Early,United States
Employee 1190,May 2022,2022,5,2022-02-14,106,3-6 months,Software Engineering,R&D,Employe 2190,L3 Seasoned,United States
Employee 1236,May 2022,2022,5,2021-04-29,397,1-5 years,Data Platform Engineering,R&D,Employe 2236,L4 Early,United States
Employee 1237,May 2022,2022,5,2021-12-22,160,3-6 months,Data Platform Engineering,R&D,Employe 2237,L3 Seasoned,United States
Employee 1251,May 2022,2022,5,2021-08-02,302,6 months-1 year,Finance,Operations,Employe 2251,M6 Early,United States
Employee 15,May 2022,2022,5,2021-08-01,303,6 months-1 year,AI Products,R&D,Employee 183,L4 Veteran,Egypt
Employee 16,May 2022,2022,5,2021-08-18,286,6 months-1 year,Core Data Ingestion,R&D,Employee 151,L4 Seasoned,United States
Employee 17,May 2022,2022,5,2021-08-23,281,6 months-1 year,Data Product Engineering,R&D,Employee 157,L4 Veteran,United States
Employee 3,May 2022,2022,5,2019-05-20,1107,1-5 years,Product Engineering,R&D,Employee 999,L6 Early,United States
Employee 32,May 2022,2022,5,2022-02-07,113,3-6 months,Core Data Ingestion,R&D,Employee 151,L4 Early,Egypt
Employee 40,May 2022,2022,5,2022-04-11,50,1-3 months,Data Platform Engineering,R&D,Employee 159,L4 Veteran,United States
Employee 41,May 2022,2022,5,2022-05-03,28,1-30 days,Product Engineering,R&D,Employee 999,M4 Veteran,United States
Employee 43,May 2022,2022,5,2022-05-09,22,1-30 days,Finance,Operations,Employee 999,M6 Seasoned,United States
Employee 5,May 2022,2022,5,2020-01-27,855,1-5 years,Data Engineering,R&D,Employee 999,M5 Veteran,United States
Employee 8,May 2022,2022,5,2020-11-30,547,1-5 years,Product Engineering,R&D,Employee 41,L4 Seasoned,United States
Employee 10,June 2022,2022,6,2021-01-28,518,1-5 years,Data Platform Engineering,R&D,Employee 159,L5 Early,United States
Employee 1143,June 2022,2022,6,2021-10-18,255,6 months-1 year,Software Engineering,R&D,Employe 2143,M4 Veteran,United States
Employee 1189,June 2022,2022,6,2022-02-07,143,3-6 months,Solutions Engineering,Go-To-Market,Employe 2189,L5 Early,United States
Employee 1190,June 2022,2022,6,2022-02-14,136,3-6 months,Software Engineering,R&D,Employe 2190,L3 Seasoned,United States
Employee 1236,June 2022,2022,6,2021-04-29,427,1-5 years,Data Platform Engineering,R&D,Employe 2236,L4 Early,United States
Employee 1237,June 2022,2022,6,2021-12-22,190,6 months-1 year,Data Platform Engineering,R&D,Employe 2237,L3 Seasoned,United States
Employee 1251,June 2022,2022,6,2021-08-02,332,6 months-1 year,Finance,Operations,Employe 2251,M6 Early,United States
Employee 15,June 2022,2022,6,2021-08-01,333,6 months-1 year,AI Products,R&D,Employee 183,L4 Veteran,Egypt
Employee 16,June 2022,2022,6,2021-08-18,316,6 months-1 year,Core Data Ingestion,R&D,Employee 151,L4 Seasoned,United States
Employee 17,June 2022,2022,6,2021-08-23,311,6 months-1 year,Data Product Engineering,R&D,Employee 157,L4 Veteran,United States
Employee 3,June 2022,2022,6,2019-05-20,1137,1-5 years,Product Engineering,R&D,Employee 999,L6 Early,United States
Employee 32,June 2022,2022,6,2022-02-07,143,3-6 months,Core Data Ingestion,R&D,Employee 151,L4 Early,Egypt
Employee 40,June 2022,2022,6,2022-04-11,80,1-3 months,Data Platform Engineering,R&D,Employee 159,L4 Veteran,United States
Employee 41,June 2022,2022,6,2022-05-03,58,1-3 months,Product Engineering,R&D,Employee 999,M4 Veteran,United States
Employee 43,June 2022,2022,6,2022-05-09,52,1-3 months,Finance,Operations,Employee 999,M6 Seasoned,United States
Employee 5,June 2022,2022,6,2020-01-27,885,1-5 years,Data Engineering,R&D,Employee 999,M5 Veteran,United States
Employee 55,June 2022,2022,6,2022-06-13,17,1-30 days,Data Platform Engineering,R&D,Employee 159,L5 Early,India
Employee 57,June 2022,2022,6,2022-06-27,3,1-30 days,Data Platform Engineering,R&D,Employee 159,L5 Early,United States
Employee 8,June 2022,2022,6,2020-11-30,577,1-5 years,Product Engineering,R&D,Employee 41,L4 Seasoned,United States
Employee 10,July 2022,2022,7,2021-01-28,549,1-5 years,Data Platform Engineering,R&D,Employee 159,L5 Early,United States
Employee 1143,July 2022,2022,7,2021-10-18,286,6 months-1 year,Software Engineering,R&D,Employe 2143,M4 Veteran,United States
Employee 1189,July 2022,2022,7,2022-02-07,174,3-6 months,Solutions Engineering,Go-To-Market,Employe 2189,L5 Early,United States
Employee 1190,July 2022,2022,7,2022-02-14,167,3-6 months,Software Engineering,R&D,Employe 2190,L3 Seasoned,United States
Employee 1236,July 2022,2022,7,2021-04-29,458,1-5 years,Data Platform Engineering,R&D,Employe 2236,L4 Early,United States
Employee 1237,July 2022,2022,7,2021-12-22,221,6 months-1 year,Data Platform Engineering,R&D,Employe 2237,L3 Seasoned,United States
Employee 1251,July 2022,2022,7,2021-08-02,363,6 months-1 year,Finance,Operations,Employe 2251,M6 Early,United States
Employee 15,July 2022,2022,7,2021-08-01,364,6 months-1 year,AI Products,R&D,Employee 183,L4 Veteran,Egypt
Employee 16,July 2022,2022,7,2021-08-18,347,6 months-1 year,Core Data Ingestion,R&D,Employee 151,L4 Seasoned,United States
Employee 17,July 2022,2022,7,2021-08-23,342,6 months-1 year,Data Product Engineering,R&D,Employee 157,L4 Veteran,United States
Employee 3,July 2022,2022,7,2019-05-20,1168,1-5 years,Product Engineering,R&D,Employee 999,L6 Early,United States
Employee 32,July 2022,2022,7,2022-02-07,174,3-6 months,Core Data Ingestion,R&D,Employee 151,L4 Early,Egypt
Employee 40,July 2022,2022,7,2022-04-11,111,3-6 months,Data Platform Engineering,R&D,Employee 159,L4 Veteran,United States
Employee 41,July 2022,2022,7,2022-05-03,89,1-3 months,Product Engineering,R&D,Employee 999,M4 Veteran,United States
Employee 43,July 2022,2022,7,2022-05-09,83,1-3 months,Finance,Operations,Employee 999,M6 Seasoned,United States
Employee 5,July 2022,2022,7,2020-01-27,916,1-5 years,Data Engineering,R&D,Employee 999,M5 Veteran,United States
Employee 55,July 2022,2022,7,2022-06-13,48,1-3 months,Data Platform Engineering,R&D,Employee 159,L5 Early,India
Employee 57,July 2022,2022,7,2022-06-27,34,1-3 months,Data Platform Engineering,R&D,Employee 159,L5 Early,United States
Employee 59,July 2022,2022,7,2022-07-05,26,1-30 days,Data Product Engineering,R&D,Employee 159,L4 Seasoned,United States
Employee 8,July 2022,2022,7,2020-11-30,608,1-5 years,Product Engineering,R&D,Employee 41,L4 Seasoned,United States
Employee 10,August 2022,2022,8,2021-01-28,580,1-5 years,Data Platform Engineering,R&D,Employee 159,L5 Early,United States
Employee 1143,August 2022,2022,8,2021-10-18,317,6 months-1 year,Software Engineering,R&D,Employe 2143,M4 Veteran,United States
Employee 1189,August 2022,2022,8,2022-02-07,205,6 months-1 year,Solutions Engineering,Go-To-Market,Employe 2189,L5 Early,United States
Employee 1190,August 2022,2022,8,2022-02-14,198,6 months-1 year,Software Engineering,R&D,Employe 2190,L3 Seasoned,United States
