Employee Name,Department,Org,Country,Start Date,Tenure Range,Level distinction,Parsed Level Code,Parsed Seniority,Matched Seniority,Payband (granular),Tech Classification,Current Base Comp (USD),Current Equity Value,Target Base Comp (Geo-Adjusted),Target Equity Value (Geo-Adjusted),Geo Factor,Raw Payband Base Comp,Raw Payband Equity Value,Perf Score H1 25,Match Status
Employee 189,Data Product Engineering,R&D,Brazil,2024-10-15,6-12 months,L4 Early,L4,Early,Early,Product - Engineering - Software Engineering - IC,Tech,104788.38,155301.76,125370.0,184334.49599999998,0.597,210000,308768,3.03,Matched
Employee 197,Orion,R&D,Brazil,2024-12-02,6-12 months,L4 Early,L4,Early,Early,Product - Engineering - Software Engineering - IC,Tech,110600.0,75312.07,125370.0,184334.49599999998,0.597,210000,308768,3.17,Matched
Employee 199,Product Security,R&D,United States,2024-12-16,6-12 months,L4 Seasoned,L4,Seasoned,Seasoned,Product - Security - Security Engineering - IC,Tech,229000.0,354962.66,234153.0,404267.0,1.0,234153,404267,3.05,Matched
Employee 200,Infrastructure Engineering,R&D,United States,2024-12-16,6-12 months,M4 Seasoned,M4,Seasoned,Seasoned,Product - Engineering - Software Engineering - Mgmt,Tech,250000.0,541642.58,250000.0,541644.0,1.0,250000,541644,--,Matched
Employee 203,Product Engineering,R&D,Brazil,2025-01-06,6-12 months,L3 Veteran,L3,Veteran,Veteran,Product - Engineering - Software Engineering - IC,Tech,95260.2,77930.64,119400.0,158956.623,0.597,200000,266259,--,Matched
Employee 206,Product Engineering,R&D,Brazil,2025-01-06,6-12 months,L3 Veteran,L3,Veteran,Veteran,Product - Engineering - Software Engineering - IC,Tech,96061.92,121125.97,119400.0,158956.623,0.597,200000,266259,--,Matched
Employee 209,Infrastructure Engineering,R&D,United States,2025-01-21,6-12 months,L3 Early,L3,Early,Early,Product - Engineering - Software Engineering - IC,Tech,170298.0,177548.47,180000.0,197544.0,1.0,180000,197544,--,Matched
Employee 210,Product Engineering,R&D,Brazil,2025-01-21,6-12 months,L5 Early,L5,Early,Early,Product - Engineering - Software Engineering - IC,Tech,130789.17,0.0,152235.0,265985.589,0.597,255000,445537,--,Matched
Employee 216,Data Platform Engineering,R&D,Brazil,2025-02-03,6-12 months,L4 Seasoned,L4,Seasoned,Seasoned,Product - Engineering - Software Engineering - IC,Tech,99996.0,155301.76,132069.53399999999,211918.881,0.597,221222,354973,--,Matched
Employee 228,Data Product Engineering,R&D,United States,2025-03-03,6-12 months,L4 Seasoned,L4,Seasoned,Seasoned,Product - Engineering - Software Engineering - IC,Tech,215000.0,0.0,221222.0,354973.0,1.0,221222,354973,--,Matched
Employee 232,Data Platform Engineering,R&D,Brazil,2025-03-17,3-6 months,L3 Veteran,L3,Veteran,Veteran,Product - Engineering - Software Engineering - IC,Tech,109992.0,9668.59,119400.0,158956.623,0.597,200000,266259,--,Matched
Employee 235,Business Operations Automation,R&D,India,2025-03-24,3-6 months,L3 Seasoned,L3,Seasoned,Seasoned,Product - Engineering - Software Engineering - IC,Tech,95000.0,110942.62,95000.0,110950.5,0.5,190000,221901,--,Matched
Employee 241,Solutions Engineering,Go-To-Market,United States,2025-04-01,3-6 months,M4 Seasoned,M4,Seasoned,Seasoned,GTM - Solutions Engineering - Solutions Engineering - Mgmt,Tech,221040.0,0.0,221040.0,136126.0,1.0,221040,136126,--,Matched
Employee 244,Product Engineering,R&D,Brazil,2025-04-07,3-6 months,L4 Early,L4,Early,Early,Product - Engineering - Software Engineering - IC,Tech,100599.96,0.0,125370.0,184334.49599999998,0.597,210000,308768,--,Matched
Employee 245,Forward Deployed Engineering,R&D,United States,2025-04-14,3-6 months,L3 Seasoned,L3,Seasoned,Seasoned,Product - Engineering - Forward Deployed Engineering - IC,Tech,229984.0,0.0,229984.0,221901.0,1.0,229984,221901,--,Matched
Employee 247,Infrastructure Engineering,R&D,United States,2025-04-14,3-6 months,L4 Seasoned,L4,Seasoned,Seasoned,Product - Engineering - Software Engineering - IC,Tech,221222.0,354962.66,221222.0,354973.0,1.0,221222,354973,--,Matched
Employee 250,Solutions Engineering,Go-To-Market,United States,2025-04-21,3-6 months,L4 Seasoned,L4,Seasoned,Seasoned,GTM - Solutions Engineering - Solutions Engineering - IC,Tech,180147.0,0.0,180147.0,95661.0,1.0,180147,95661,--,Matched
Employee 252,Core Data Ingestion,R&D,Brazil,2025-04-28,3-6 months,L4 Early,L4,Early,Early,Product - Engineering - Software Engineering - IC,Tech,105630.0,155301.76,125370.0,184334.49599999998,0.597,210000,308768,--,Matched
Employee 265,Data Product Engineering,R&D,Brazil,2025-05-12,3-6 months,L4 Early,L4,Early,Early,Product - Engineering - Software Engineering - IC,Tech,105630.0,0.0,125370.0,184334.49599999998,0.597,210000,308768,--,Matched
Employee 272,Data Platform Engineering,R&D,United States,2025-05-27,3-6 months,L3,L3,,Seasoned,Product - Engineering - Software Engineering - IC,Tech,190000.0,0.0,190000.0,221901.0,1.0,190000,221901,--,Matched
Employee 273,Orion,R&D,Brazil,2025-05-27,3-6 months,L4,L4,,Seasoned,Product - Engineering - Software Engineering - IC,Tech,108752.66,0.0,132069.53399999999,211918.881,0.597,221222,354973,--,Matched
Employee 278,Data Product Engineering,R&D,Brazil,2025-05-27,3-6 months,L3,L3,,Seasoned,Product - Engineering - Software Engineering - IC,Tech,103948.2,155310.71,113430.0,132474.897,0.597,190000,221901,--,Matched
Employee 286,Core Data Ingestion,R&D,Egypt,2025-06-09,0-90 days,L3,L3,,Seasoned,Product - Engineering - Software Engineering - IC,Tech,90000.0,98767.35,95000.0,110950.5,0.5,190000,221901,--,Matched
Employee 288,Data Platform Engineering,R&D,United States,2025-06-09,0-90 days,L4,L4,,Seasoned,Product - Engineering - Software Engineering - IC,Tech,221222.0,354962.66,221222.0,354973.0,1.0,221222,354973,--,Matched
Employee 305,Orion,R&D,United States,2025-07-28,0-90 days,L4,L4,,Seasoned,Product - Engineering - Machine Learning Engineering - IC,Tech,223401.0,,231951.0,404267.0,1.0,231951,404267,--,Matched
Employee 43,Finance,Operations,United States,2022-05-09,2-5 years,M6 Seasoned,M6,Seasoned,Seasoned,Operations - Finance - FP&A - Mgmt,Non-Tech,320000.0,3444771.62,320000.0,2500000.0,1.0,320000,2500000,3.7,Matched
Employee 66,Accounting,Operations,United States,2022-08-29,2-5 years,M5 Early,M5,Early,Early,Operations - Finance - Accounting - Mgmt,Non-Tech,202110.0,153684.12,202042.0,118218.0,1.0,202042,118218,3.58,Matched
Employee 80,Accounting,Operations,United States,2022-12-19,2-5 years,M3 Veteran,M3,Veteran,Veteran,Operations - Finance - Accounting - Mgmt,Non-Tech,150000.0,116677.31,150000.0,68752.0,1.0,150000,68752,3.23,Matched
Employee 282,Financial Planning and Analysis,Operations,United States,2025-06-02,3-6 months,M5,M5,,Seasoned,Operations - Finance - FP&A - Mgmt,Non-Tech,270000.0,360020.77,250000.0,320000.0,1.0,250000,320000,--,Matched
