Role Name,Date,Candidate Name + GH URL,High Potential?,Location,Tech/Non-Tech/Quota Carrying,Geo Factor,Comp Type,Current Level,$ Base Comp,Final Pay Band,TRM Level,TRM Cash
"Senior or Staff Software Engineer, Data Platform (LATAM)",2025-01-22,Candidate 31,Yes,United States,Tech,1.0,Current Comp,L5 (Staff),240000,Product - Engineering - Software Engineering - IC,L5,265000.0
"Senior or Staff Software Engineer, Blockchain Infrastructure | Core Data Ingestion",2025-01-22,Candidate 32,No,United States,Tech,1.0,Expected,L4 (Senior),180000,Product - Engineering - Software Engineering - IC,L4,221222.0
"Senior or Staff Software Engineer, Blockchain Infrastructure | Core Data Ingestion",2025-01-22,Candidate 33,No,United States,Tech,1.0,Expected,L4 (Senior),204000,Product - Engineering - Software Engineering - IC,L4,221222.0
"Software Engineer, Backend | Product Engineering (LATAM)",2025-01-23,Candidate 34,Yes,Brazil,Tech,0.597,Expected,L3 (Mid),108000,Product - Engineering - Software Engineering - IC,L4,113430.0
"Senior or Staff Software Engineer, Blockchain Infrastructure | Core Data Ingestion",2025-01-23,Candidate 35,No,United States,Tech,1.0,Expected,L4 (Senior),,Product - Engineering - Software Engineering - IC,L4,221222.0
Lead Solutions Architect,2025-01-23,Candidate 36,No,United States,Tech,1.0,Current Comp,L4 (Senior),220000,GTM - Solutions Engineering - Solutions Engineering - IC,L5,180147.0
Lead Solutions Architect,2025-01-23,Candidate 37,Yes,United States,Non-tech,1.0,Current Comp,L4 (Senior),220000,GTM - Solutions Engineering - Solutions Engineering - IC,L5,180147.0
"Senior or Staff Software Engineer, Blockchain Infrastructure | Core Data Ingestion",2025-01-06,Candidate 38,No,United States,Tech,1.0,Current Comp,L4 (Senior),140000,Product - Engineering - Software Engineering - IC,L4,221222.0
Lead Solutions Architect,2025-01-06,Candidate 39,Yes,United States,Non-tech,1.0,Current Comp,L5 (Staff),225000,GTM - Solutions Engineering - Solutions Engineering - IC,L5,202538.0
Lead Solutions Architect,2025-01-07,Candidate 40,Yes,United States,Tech,1.0,Expected,L5 (Staff),275000,GTM - Solutions Engineering - Solutions Engineering - IC,L5,202538.0
"Software Engineer, Backend | Product Engineering (LATAM)",2025-01-08,Candidate 41,Yes,Brazil,Tech,0.597,Current Comp,L4 (Senior),110000,Product - Engineering - Software Engineering - IC,L4,132069.53
"Senior or Staff Software Engineer, Blockchain Infrastructure | Core Data Ingestion",2025-01-08,Candidate 42,No,United States,Tech,1.0,Expected,L4 (Senior),120000,Product - Engineering - Software Engineering - IC,L4,221222.0
Lead Solutions Architect,2025-01-08,Candidate 43,Yes,United States,Tech,1.0,Current Comp,M4 (Manager),230000,GTM - Solutions Engineering - Solutions Engineering - IC,L5,143154.0
Lead Solutions Architect,2025-01-09,Candidate 44,Yes,United States,Tech,1.0,Current Comp,L4 (Senior),220000,GTM - Solutions Engineering - Solutions Engineering - IC,L5,180147.0
Forward Deployed Engineer - US National Security,2025-01-20,Candidate 45,Yes,United States,Tech,1.0,Expected,L3 (Mid),110000,Product - Engineering - Forward Deployed Engineering - IC,L4,229984.32
Forward Deployed Engineer - US National Security,2025-01-10,Candidate 46,No,United States,Tech,1.0,Expected,L4 (Senior),DNP,Product - Engineering - Forward Deployed Engineering - IC,L4,265465.92
Forward Deployed Engineer - US National Security,2025-01-10,Candidate 47,Yes,United States,Tech,1.0,Expected,L3 (Mid),200000,Product - Engineering - Forward Deployed Engineering - IC,L4,229984.32
"Software Engineer, Backend | Product Engineering (LATAM)",2025-01-10,Candidate 48,Yes,United States,Tech,1.0,Expected,L4 (Senior),280000,Product - Engineering - Software Engineering - IC,L4,221222.0
"Software Engineer, Backend | Product Engineering (LATAM)",2025-01-14,Candidate 49,,Brazil,Tech,0.597,Expected,L4 (Senior),72000,Product - Engineering - Software Engineering - IC,L4,132069.53
"Senior Data Scientist, Analytics | Advanced Analytics",2025-01-15,Candidate 50,No,United States,Tech,1.0,Current Comp,L4 (Senior),180000,Product - Engineering - Software Engineering - IC,L4,221222.0
Lead Solutions Architect,2025-01-17,Candidate 51,Yes,United States,Non-tech,1.0,Current Comp,L4 (Senior),205000,GTM - Solutions Engineering - Solutions Engineering - IC,L5,180147.0
Lead Solutions Architect,2025-01-17,Candidate 52,Yes,United States,Non-tech,1.0,Current Comp,L5 (Staff),250000,GTM - Solutions Engineering - Solutions Engineering - IC,L5,202538.0
"Senior Software Engineer, Core Data Ingestion (LATAM)",2025-01-20,Candidate 53,Yes,Brazil,Tech,0.597,Current Comp,L4 (Senior),37000,Product - Engineering - Software Engineering - IC,L4,132069.53
"Senior or Staff Software Engineer, Data Platform (LATAM)",2025-01-20,Candidate 54,Yes,Brazil,Tech,0.597,Expected,L4 (Senior),120000,Product - Engineering - Software Engineering - IC,L4,132069.53
"Senior or Staff Software Engineer, Data Platform (LATAM)",2025-01-20,Candidate 55,No,Brazil,Tech,0.597,Current Comp,L4 (Senior),96000,Product - Engineering - Software Engineering - IC,L4,132069.53
"Senior Software Engineer, Core Data Ingestion (LATAM)",2025-01-20,Candidate 56,No,Brazil,Tech,0.597,Expected,L4 (Senior),72000,Product - Engineering - Software Engineering - IC,L4,132069.53
"Senior Software Engineer, Core Data Ingestion (LATAM)",2025-01-20,Candidate 57,Yes,Brazil,Tech,0.597,Expected,L4 (Senior),78000,Product - Engineering - Software Engineering - IC,L4,132069.53
"Senior or Staff Software Engineer, Data Platform (LATAM)",2025-01-20,Candidate 58,Yes,Brazil,Tech,0.597,Current Comp,L4 (Senior),108000,Product - Engineering - Software Engineering - IC,L4,132069.53
"Senior or Staff Software Engineer, Data Platform (LATAM)",2025-01-20,Candidate 59,Yes,Brazil,Tech,0.597,Expected,L4 (Senior),96000,Product - Engineering - Software Engineering - IC,L4,132069.53
Lead Solutions Architect,2025-01-21,Candidate 60,Yes,United States,Non-tech,1.0,Expected,L5 (Staff),230000,GTM - Solutions Engineering - Solutions Engineering - IC,L5,202538.0
,2025-01-21,Candidate 61,Yes,United States,Tech,1.0,Expected,L4 (Senior),230000,Product - Engineering - Software Engineering - IC,L4,221222.0
Forward Deployed Engineer - US National Security,2025-01-21,Candidate 62,Yes,United States,Tech,1.0,Expected,L5 (Staff),270000,Product - Engineering - Forward Deployed Engineering - IC,L4,312237.12
"Senior or Staff Software Engineer, Blockchain Infrastructure | Core Data Ingestion",2025-01-21,Candidate 63,Yes,United States,Tech,1.0,Expected,L5 (Staff),DND,Product - Engineering - Software Engineering - IC,L5,265000.0
"Senior or Staff Software Engineer, Blockchain Infrastructure | Core Data Ingestion",2025-01-21,Candidate 64,No,United States,Tech,1.0,Expected,L5 (Staff),DND,Product - Engineering - Software Engineering - IC,L5,265000.0
"Senior Software Engineer, Frontend | Product Engineering",2025-01-22,Candidate 65,Yes,Brazil,Tech,0.597,Expected,L4 (Senior),110000,Product - Engineering - Software Engineering - IC,L4,132069.53
"Software Engineer, Backend | Product Engineering (LATAM)",2025-01-22,Candidate 66,Yes,United States,Tech,1.0,Current Comp,L4 (Senior),220000,Product - Engineering - Software Engineering - IC,L4,221222.0
"Senior or Staff Software Engineer, Data Platform (LATAM)",2025-01-22,Candidate 67,Yes,United States,Tech,1.0,Current Comp,L5 (Staff),240000,Product - Engineering - Software Engineering - IC,L5,265000.0
"Senior or Staff Software Engineer, Blockchain Infrastructure | Core Data Ingestion",2025-01-22,Candidate 68,No,United States,Tech,1.0,Expected,L4 (Senior),180000,Product - Engineering - Software Engineering - IC,L4,221222.0
"Senior or Staff Software Engineer, Blockchain Infrastructure | Core Data Ingestion",2025-01-22,Candidate 69,No,United States,Tech,1.0,Expected,L4 (Senior),204000,Product - Engineering - Software Engineering - IC,L4,221222.0
Senior or Staff Software Engineer - Graph Analytics,2025-01-24,Candidate 70,No,United States,Tech,1.0,Expected,L5 (Staff),250000,Product - Engineering - Software Engineering - IC,L5,265000.0
"Software Engineer, Backend | Product Engineering (LATAM)",2025-01-27,Candidate 71,Yes,Argentina,Tech,0.503,Current Comp,L4 (Senior),120000,Product - Engineering - Software Engineering - IC,L4,111274.67
"Software Engineer, Backend | Product Engineering (LATAM)",2025-01-27,Candidate 72,Yes,Brazil,Tech,0.597,Expected,L3 (Mid),78000,Product - Engineering - Software Engineering - IC,L4,113430.0
"Software Engineer, Backend | Product Engineering (LATAM)",2025-01-27,Candidate 73,No,Brazil,Tech,0.597,Expected,L3 (Mid),130000,Product - Engineering - Software Engineering - IC,L4,113430.0
"Senior or Staff Software Engineer, Data Platform (LATAM)",2025-01-28,Candidate 74,No,United States,Tech,1.0,Expected,L4 (Senior),205000,Product - Engineering - Software Engineering - IC,L4,221222.0
"Senior or Staff Software Engineer, Data Platform (LATAM)",2025-01-28,Candidate 75,Yes,United States,Tech,1.0,Current Comp,L4 (Senior),236000,Product - Engineering - Software Engineering - IC,L4,221222.0
Forward Deployed Engineer - US National Security,2025-01-28,Candidate 76,Yes,United States,Tech,1.0,TRM Pay Band,L4 (Senior),240000,Product - Engineering - Forward Deployed Engineering - IC,L4,265465.92
Forward Deployed Engineer - US National Security,2025-01-28,Candidate 77,No,United States,Tech,1.0,Expected,L4 (Senior),DND,Product - Engineering - Forward Deployed Engineering - IC,L4,265465.92
"Senior or Staff Software Engineer, Blockchain Infrastructure | Core Data Ingestion",2025-01-29,Candidate 78,No,United States,Tech,1.0,Expected,L4 (Senior),DND,Product - Engineering - Software Engineering - IC,L4,221222.0
"Senior or Staff Software Engineer, Database Infrastructure",2025-01-30,Candidate 79,Yes,United States,Tech,1.0,Current Comp,L5 (Staff),190000,Product - Engineering - Software Engineering - IC,L5,265000.0
"Senior or Staff Software Engineer, Database Infrastructure",2025-01-30,Candidate 80,Yes,United States,Tech,1.0,Expected,L5 (Staff),310000,Product - Engineering - Software Engineering - IC,L5,265000.0
Senior or Staff Software Engineer - Graph Analytics,2025-01-30,Candidate 81,Yes,United States,Tech,1.0,Current Comp,L4 (Senior),220000,Product - Engineering - Software Engineering - IC,L4,221222.0
"Senior or Staff Software Engineer, Blockchain Infrastructure | Core Data Ingestion",2025-01-30,Candidate 82,Yes,United States,Tech,1.0,Current Comp,L4 (Senior),DND,Product - Engineering - Software Engineering - IC,L4,221222.0
"Senior or Staff Software Engineer, Blockchain Infrastructure | Core Data Ingestion",2025-01-30,Candidate 83,Yes,United States,Tech,1.0,Current Comp,L4 (Senior),210000,Product - Engineering - Software Engineering - IC,L4,221222.0
"Senior or Staff Software Engineer, Database Infrastructure",2025-01-31,Candidate 84,Yes,United States,Tech,1.0,Expected,L4 (Senior),210000,Product - Engineering - Software Engineering - IC,L4,221222.0
Forward Deployed Engineer - US National Security,2025-01-31,Candidate 85,Yes,United States,Tech,1.0,Current Comp,L5 (Staff),295000,Product - Engineering - Forward Deployed Engineering - IC,L4,312237.12
Forward Deployed Engineer - US National Security,2025-01-31,Candidate 86,Yes,United States,Tech,1.0,Current Comp,L5 (Staff),280000,Product - Engineering - Forward Deployed Engineering - IC,L4,312237.12
Head of Strategic Finance,2025-02-03,Candidate 87,Yes,United States,Non-tech,1.0,Expected,M4 (Manager),275000,Operations - Finance - FP&A - Mgmt,M4,225000.0
Forward Deployed Engineer - US National Security,2025-02-03,Candidate 88,Yes,United States,Tech,1.0,Current Comp,L5 (Staff),285000,Product - Engineering - Forward Deployed Engineering - IC,L4,312237.12
"Senior or Staff Software Engineer, Database Infrastructure",2025-02-04,Candidate 89,No,United States,Tech,1.0,Expected,L4 (Senior),225000,Product - Engineering - Software Engineering - IC,L4,221222.0
Forward Deployed Engineer - US National Security,2025-02-05,Candidate 90,Yes,United States,Tech,1.0,Current Comp,L5 (Staff),320000,Product - Engineering - Forward Deployed Engineering - IC,L4,312237.12
Lead Solutions Architect,2025-02-05,Candidate 91,Yes,United States,Non-tech,1.0,Expected,L4 (Senior),230000,GTM - Solutions Engineering - Solutions Engineering - IC,L5,180147.0
"Senior Software Engineer, Core Data Ingestion (LATAM)",2025-02-07,Candidate 92,Yes,Brazil,Tech,0.597,Current Comp,L3 (Mid),54000,Product - Engineering - Software Engineering - IC,L3,113430.0
"Senior or Staff Software Engineer, Blockchain Infrastructure | Core Data Ingestion",2025-02-10,Candidate 93,Yes,United States,Tech,1.0,Current Comp,L4 (Senior),230000,Product - Engineering - Software Engineering - IC,L4,221222.0
Lead Solutions Architect,2025-02-10,Candidate 94,Yes,United States,Non-tech,1.0,Current Comp,L4 (Senior),300000,GTM - Solutions Engineering - Solutions Engineering - IC,L5,180147.0
Lead Solutions Architect,2025-02-10,Candidate 95,Yes,United States,Non-tech,1.0,Current Comp,L4 (Senior),185000,GTM - Solutions Engineering - Solutions Engineering - IC,L5,180147.0
Lead Solutions Architect,2025-02-07,Candidate 96,No,United States,Non-tech,1.0,Current Comp,L4 (Senior),,GTM - Solutions Engineering - Solutions Engineering - IC,L5,180147.0
"Software Engineer, Backend | Product Engineering (LATAM)",2025-02-11,Candidate 97,No,United States,Tech,1.0,Expected,L4 (Senior),,Product - Engineering - Software Engineering - IC,L4,221222.0
"Senior or Staff Software Engineer, Database Infrastructure",2025-02-12,Candidate 98,Yes,United States,Tech,1.0,Current Comp,L5 (Staff),235000,Product - Engineering - Software Engineering - IC,L5,265000.0
Senior or Staff Software Engineer - Graph Analytics,2025-02-12,Candidate 99,Yes,United States,Tech,1.0,TRM Pay Band,L4 (Senior),215000,Product - Engineering - Software Engineering - IC,L4,221222.0
"Senior or Staff Software Engineer, Data Product",2025-02-12,Candidate 100,Yes,United States,Tech,1.0,Current Comp,L4 (Senior),242000,Product - Engineering - Software Engineering - IC,L4,221222.0
Senior or Staff Software Engineer - Graph Analytics,2025-02-12,Candidate 101,Yes,United States,Tech,1.0,Expected,L4 (Senior),205000,Product - Engineering - Software Engineering - IC,L4,221222.0
Senior or Staff Software Engineer - Graph Analytics,2025-02-12,Candidate 102,Yes,United States,Tech,1.0,TRM Pay Band,L4 (Senior),215000,Product - Engineering - Software Engineering - IC,L4,221222.0
"Senior or Staff Software Engineer, Data Platform (LATAM)",2025-02-12,Candidate 103,Yes,United States,Tech,1.0,Expected,L4 (Senior),225000,Product - Engineering - Software Engineering - IC,L4,221222.0
Senior or Staff Software Engineer - Graph Analytics,,Candidate 104,Yes,United States,Tech,1.0,Expected,L4 (Senior),210000,Product - Engineering - Software Engineering - IC,L4,221222.0
Forward Deployed Engineer - US National Security,2025-02-12,Candidate 105,Yes,United States,Tech,1.0,Current Comp,L4 (Senior),260000,Product - Engineering - Forward Deployed Engineering - IC,L4,265465.92
Head of Strategic Finance,,Candidate 106,Yes,United States,Non-tech,1.0,Expected,M5 (Director),170000,Operations - Finance - FP&A - Mgmt,M4,250000.0
AI Engineer,2025-02-20,Candidate 107,Yes,United States,Tech,1.0,Expected,L5 (Staff),262000,Product - Engineering - Machine Learning Engineering - IC,L4,257600.7
Lead Solutions Architect,2025-02-20,Candidate 108,Yes,United States,Non-tech,1.0,Current Comp,L4 (Senior),175000,GTM - Solutions Engineering - Solutions Engineering - IC,L5,180147.0
Forward Deployed Engineer - US National Security,2025-02-18,Candidate 109,Yes,United States,Tech,1.0,Current Comp,L4 (Senior),230000,Product - Engineering - Forward Deployed Engineering - IC,L4,265465.92
Lead Solutions Architect,2025-02-18,Candidate 110,No,United States,Non-tech,1.0,Current Comp,L4 (Senior),DND,GTM - Solutions Engineering - Solutions Engineering - IC,L5,180147.0
Lead Solutions Architect,2025-02-20,Candidate 111,No,United States,Tech,1.0,Current Comp,L4 (Senior),210000,GTM - Solutions Engineering - Solutions Engineering - IC,L5,180147.0
Head of Strategic Finance,2025-02-21,Candidate 112,Yes,United States,Non-tech,1.0,Expected,M5 (Director),240000,Operations - Finance - FP&A - Mgmt,M4,250000.0
Lead Solutions Architect,2025-02-24,Candidate 113,Yes,United States,Non-tech,1.0,Current Comp,L4 (Senior),220000,GTM - Solutions Engineering - Solutions Engineering - IC,L5,180147.0
AI Engineer,2025-02-25,Candidate 114,Yes,Germany,Tech,0.819,Expected,L4 (Senior),150000,Product - Engineering - Machine Learning Engineering - IC,L4,189967.62
Forward Deployed Engineer - US National Security,2025-02-25,Candidate 115,No,United States,Tech,1.0,Current Comp,L3 (Mid),200000,Product - Engineering - Forward Deployed Engineering - IC,L4,229984.32
Forward Deployed Engineer - US National Security,2025-02-25,Candidate 116,Yes,United States,Tech,1.0,Current Comp,L4 (Senior),260000,Product - Engineering - Forward Deployed Engineering - IC,L4,265465.92
Lead Solutions Architect,2025-02-26,Candidate 117,Yes,United States,Non-tech,1.0,Current Comp,L4 (Senior),230000,GTM - Solutions Engineering - Solutions Engineering - IC,L5,180147.0
"Senior or Staff Software Engineer, Blockchain Infrastructure | Core Data Ingestion",2025-02-26,Candidate 118,No,United States,Tech,1.0,Current Comp,L4 (Senior),200000,Product - Engineering - Software Engineering - IC,L4,221222.0
Forward Deployed Engineer - US National Security,2025-02-27,Candidate 119,Yes,United States,Tech,1.0,Current Comp,L4 (Senior),290000,Product - Engineering - Forward Deployed Engineering - IC,L4,265465.92
Forward Deployed Engineer - US National Security,2025-02-27,Candidate 120,Yes,United States,Tech,1.0,Current Comp,L4 (Senior),270000,Product - Engineering - Forward Deployed Engineering - IC,L4,265465.92
Lead Solutions Architect,2025-02-28,Candidate 121,Yes,United States,Non-tech,1.0,Current Comp,L4 (Senior),208000,GTM - Solutions Engineering - Solutions Engineering - IC,L5,180147.0
Forward Deployed Engineer - US National Security,2025-02-28,Candidate 122,Yes,United States,Tech,1.0,Current Comp,L4 (Senior),250000,Product - Engineering - Forward Deployed Engineering - IC,L4,265465.92
"Senior or Staff Software Engineer, Blockchain Infrastructure | Core Data Ingestion",2025-02-28,Candidate 123,Yes,United States,Tech,1.0,Current Comp,L4 (Senior),,Product - Engineering - Software Engineering - IC,L4,221222.0
AI Engineer,2025-03-03,Candidate 124,Yes,Austria,Tech,0.8,Expected,L4 (Senior),220000,Product - Engineering - Machine Learning Engineering - IC,L4,185560.56
Lead Solutions Architect,2025-03-04,Candidate 125,No,United States,Non-tech,1.0,Current Comp,L4 (Senior),260000,GTM - Solutions Engineering - Solutions Engineering - IC,L5,180147.0
"Software Engineer, Infrastructure",2025-03-04,Candidate 126,Yes,United States,Tech,1.0,Current Comp,L4 (Senior),,Product - Engineering - Software Engineering - IC,L4,221222.0
"Software Engineer, Infrastructure",2025-03-05,Candidate 127,Yes,United States,Tech,1.0,Current Comp,L4 (Senior),200000,Product - Engineering - Software Engineering - IC,L4,221222.0
Lead Solutions Architect,2025-03-06,Candidate 128,No,United States,Non-tech,1.0,Current Comp,L5 (Staff),200000,GTM - Solutions Engineering - Solutions Engineering - IC,L5,202538.0
AI Engineer,2025-03-10,Candidate 129,,India,Tech,0.5,Expected,L4 (Senior),150000,Product - Engineering - Machine Learning Engineering - IC,L4,115975.35
Forward Deployed Engineer - US National Security,2025-03-10,Candidate 130,Yes,United States,Tech,1.0,Current Comp,L4 (Senior),270000,Product - Engineering - Forward Deployed Engineering - IC,L4,265465.92
"Software Engineer, Infrastructure",2025-03-10,Candidate 131,No,United States,Tech,1.0,Current Comp,L4 (Senior),180000,Product - Engineering - Software Engineering - IC,L4,221222.0
"Software Engineer, Backend | Product Engineering (LATAM)",2025-03-11,Candidate 132,Yes,United States,Tech,1.0,TRM Pay Band,L4 (Senior),210000,Product - Engineering - Software Engineering - IC,L4,221222.0
"Software Engineer, Backend | Product Engineering (LATAM)",2025-03-11,Candidate 133,Yes,Brazil,Tech,0.597,Expected,L4 (Senior),100000,Product - Engineering - Software Engineering - IC,L4,132069.53
"Software Engineer, Backend | Product Engineering (LATAM)",2025-03-11,Candidate 134,No,Argentina,Tech,0.503,Expected,L3 (Mid),72000,Product - Engineering - Software Engineering - IC,L4,95570.0
"Software Engineer, Backend | Product Engineering (LATAM)",2025-03-11,Candidate 135,No,United States,Tech,1.0,Expected,L3 (Mid),130000,Product - Engineering - Software Engineering - IC,L4,190000.0
"Senior or Staff Software Engineer, Blockchain Infrastructure | Core Data Ingestion",2025-03-10,Candidate 136,Yes,United States,Tech,1.0,Expected,L3 (Mid),180000,Product - Engineering - Software Engineering - IC,L3,190000.0
"Senior or Staff Software Engineer, Blockchain Infrastructure | Core Data Ingestion",2025-03-10,Candidate 137,Yes,Spain,Tech,0.75,Expected,L4 (Senior),200000,Product - Engineering - Software Engineering - IC,L4,165916.5
"Senior or Staff Software Engineer, Blockchain Infrastructure | Core Data Ingestion",2025-03-13,Candidate 138,No,France,Tech,0.835,Expected,L4 (Senior),165000,Product - Engineering - Software Engineering - IC,L4,184720.37
Forward Deployed Engineer - US National Security,2025-03-13,Candidate 139,No,United States,Tech,1.0,Expected,L4 (Senior),265000,Product - Engineering - Forward Deployed Engineering - IC,L4,265465.92
AI Manager,2025-03-14,Candidate 140,Yes,United States,Tech,1.0,Expected,M4 (Manager),320000,Product - Engineering - Machine Learning Engineering - Mgmt,M4,290450.0
Lead Solutions Architect,2025-03-14,Candidate 141,No,United States,Non-tech,1.0,Current Comp,M3 (Team Lead),195000,GTM - Solutions Engineering - Solutions Engineering - IC,L5,129525.0
Revops Order Management Specialist,2025-03-17,Candidate 142,Yes,United States,Non-tech,1.0,Current Comp,L5 (Staff),220000,GTM - Solutions Engineering - Solutions Engineering - IC,L5,202538.0
Forward Deployed Engineer - US National Security,2025-03-17,Candidate 143,No,United States,Tech,1.0,Expected,L3 (Mid),160000,Product - Engineering - Forward Deployed Engineering - IC,L4,229984.32
Forward Deployed Engineer - US National Security,2025-03-17,Candidate 144,No,United States,Tech,1.0,Current Comp,L4 (Senior),200000,Product - Engineering - Forward Deployed Engineering - IC,L4,265465.92
AI Manager,2025-03-18,Candidate 145,Yes,United States,Tech,1.0,Expected,M4 (Manager),DNS,Product - Engineering - Machine Learning Engineering - Mgmt,M4,290450.0
Enterprise IT Security Team Lead,2025-03-18,Candidate 146,Yes,United States,Tech,1.0,Current Comp,M5 (Director),350000,Product - Security - Security Engineering - Mgmt,L4,294600.0
