Role Name,Date,Candidate Name + GH URL,Candidate Number,High Potential?,Location,Tech/Non-Tech/Quota Carrying,Geo Factor,Comp Type,Current Level,$ Base Comp,Final Pay Band,TRM Level,TRM Cash,Compensation Difference,TRM Level Cash
"Senior or Staff Software Engineer, Data Platform (LATAM)",2025-01-20,Candidate 19,19,No,Brazil,Tech,0.597,Current Comp,L4 (Senior),96000,Product - Engineering - Software Engineering - IC,L4,132069.53399999999,36069.53,132069.53399999999
"Senior Software Engineer, Core Data Ingestion (LATAM)",2025-01-20,Candidate 20,20,No,Brazil,Tech,0.597,Expected,L4 (Senior),72000,Product - Engineering - Software Engineering - IC,L4,132069.53399999999,60069.53,132069.53399999999
"Senior Software Engineer, Core Data Ingestion (LATAM)",2025-01-20,Candidate 21,21,Yes,Brazil,Tech,0.597,Expected,L4 (Senior),78000,Product - Engineering - Software Engineering - IC,L4,132069.53399999999,54069.53,132069.53399999999
"Senior or Staff Software Engineer, Data Platform (LATAM)",2025-01-20,Candidate 22,22,Yes,Brazil,Tech,0.597,Current Comp,L4 (Senior),108000,Product - Engineering - Software Engineering - IC,L4,132069.53399999999,24069.53,132069.53399999999
"Senior or Staff Software Engineer, Data Platform (LATAM)",2025-01-20,Candidate 23,23,Yes,Brazil,Tech,0.597,Expected,L4 (Senior),96000,Product - Engineering - Software Engineering - IC,L4,132069.53399999999,36069.53,132069.53399999999
Lead Solutions Architect,2025-01-21,Candidate 24,24,Yes,United States,Non-tech,1.0,Expected,L5 (Staff),230000,GTM - Solutions Engineering - Solutions Engineering - IC,L5,202538.0,-27462.0,202538.0
,2025-01-21,Candidate 25,25,Yes,United States,Tech,1.0,Expected,L4 (Senior),230000,Product - Engineering - Software Engineering - IC,L4,221222.0,-8778.0,221222.0
Forward Deployed Engineer - US National Security,2025-01-21,Candidate 26,26,Yes,United States,Tech,1.0,Expected,L5 (Staff),270000,Product - Engineering - Forward Deployed Engineering - IC,L4,312237.0,42237.119999999995,265466.0
"Senior or Staff Software Engineer, Blockchain Infrastructure | Core Data Ingestion",2025-01-21,Candidate 27,27,Yes,United States,Tech,1.0,Expected,L5 (Staff),DND,Product - Engineering - Software Engineering - IC,L5,265000.0,,265000.0
"Senior or Staff Software Engineer, Blockchain Infrastructure | Core Data Ingestion",2025-01-21,Candidate 28,28,No,United States,Tech,1.0,Expected,L5 (Staff),DND,Product - Engineering - Software Engineering - IC,L5,265000.0,,265000.0
"Senior Software Engineer, Frontend | Product Engineering",2025-01-22,Candidate 29,29,Yes,Brazil,Tech,0.597,Expected,L4 (Senior),110000,Product - Engineering - Software Engineering - IC,L4,132069.53399999999,22069.53,132069.53399999999
"Software Engineer, Backend | Product Engineering (LATAM)",2025-01-22,Candidate 30,30,Yes,United States,Tech,1.0,Current Comp,L4 (Senior),220000,Product - Engineering - Software Engineering - IC,L4,221222.0,1222.0,221222.0
"Senior or Staff Software Engineer, Data Platform (LATAM)",2025-01-22,Candidate 31,31,Yes,United States,Tech,1.0,Current Comp,L5 (Staff),240000,Product - Engineering - Software Engineering - IC,L5,265000.0,25000.0,265000.0
"Senior or Staff Software Engineer, Blockchain Infrastructure | Core Data Ingestion",2025-01-22,Candidate 32,32,No,United States,Tech,1.0,Expected,L4 (Senior),180000,Product - Engineering - Software Engineering - IC,L4,221222.0,41222.0,221222.0
"Senior or Staff Software Engineer, Blockchain Infrastructure | Core Data Ingestion",2025-01-22,Candidate 33,33,No,United States,Tech,1.0,Expected,L4 (Senior),204000,Product - Engineering - Software Engineering - IC,L4,221222.0,17222.0,221222.0
"Software Engineer, Backend | Product Engineering (LATAM)",2025-01-23,Candidate 34,34,Yes,Brazil,Tech,0.597,Expected,L3 (Mid),108000,Product - Engineering - Software Engineering - IC,L4,113430.0,5430.0,132069.53399999999
Lead Solutions Architect,2025-01-23,Candidate 36,36,No,United States,Tech,1.0,Current Comp,L4 (Senior),220000,GTM - Solutions Engineering - Solutions Engineering - IC,L5,180147.0,-39853.0,202538.0
Lead Solutions Architect,2025-01-23,Candidate 37,37,Yes,United States,Non-tech,1.0,Current Comp,L4 (Senior),220000,GTM - Solutions Engineering - Solutions Engineering - IC,L5,180147.0,-39853.0,202538.0
"Senior or Staff Software Engineer, Blockchain Infrastructure | Core Data Ingestion",2025-01-06,Candidate 38,38,No,United States,Tech,1.0,Current Comp,L4 (Senior),140000,Product - Engineering - Software Engineering - IC,L4,221222.0,81222.0,221222.0
Lead Solutions Architect,2025-01-06,Candidate 39,39,Yes,United States,Non-tech,1.0,Current Comp,L5 (Staff),225000,GTM - Solutions Engineering - Solutions Engineering - IC,L5,202538.0,-22462.0,202538.0
Lead Solutions Architect,2025-01-07,Candidate 40,40,Yes,United States,Tech,1.0,Expected,L5 (Staff),275000,GTM - Solutions Engineering - Solutions Engineering - IC,L5,202538.0,-72462.0,202538.0
"Software Engineer, Backend | Product Engineering (LATAM)",2025-01-08,Candidate 41,41,Yes,Brazil,Tech,0.597,Current Comp,L4 (Senior),110000,Product - Engineering - Software Engineering - IC,L4,132069.53399999999,22069.53,132069.53399999999
"Senior or Staff Software Engineer, Blockchain Infrastructure | Core Data Ingestion",2025-01-08,Candidate 42,42,No,United States,Tech,1.0,Expected,L4 (Senior),120000,Product - Engineering - Software Engineering - IC,L4,221222.0,101222.0,221222.0
Lead Solutions Architect,2025-01-08,Candidate 43,43,Yes,United States,Tech,1.0,Current Comp,M4 (Manager),230000,GTM - Solutions Engineering - Solutions Engineering - IC,L5,143154.0,-86846.0,202538.0
Lead Solutions Architect,2025-01-09,Candidate 44,44,Yes,United States,Tech,1.0,Current Comp,L4 (Senior),220000,GTM - Solutions Engineering - Solutions Engineering - IC,L5,180147.0,-39853.0,202538.0
Forward Deployed Engineer - US National Security,2025-01-20,Candidate 45,45,Yes,United States,Tech,1.0,Expected,L3 (Mid),110000,Product - Engineering - Forward Deployed Engineering - IC,L4,229984.0,119984.32,265466.0
Forward Deployed Engineer - US National Security,2025-01-10,Candidate 46,46,No,United States,Tech,1.0,Expected,L4 (Senior),DNP,Product - Engineering - Forward Deployed Engineering - IC,L4,265466.0,,265466.0
Forward Deployed Engineer - US National Security,2025-01-10,Candidate 47,47,Yes,United States,Tech,1.0,Expected,L3 (Mid),200000,Product - Engineering - Forward Deployed Engineering - IC,L4,229984.0,29984.320000000007,265466.0
"Software Engineer, Backend | Product Engineering (LATAM)",2025-01-10,Candidate 48,48,Yes,United States,Tech,1.0,Expected,L4 (Senior),280000,Product - Engineering - Software Engineering - IC,L4,221222.0,-58778.0,221222.0
"Senior Data Scientist, Analytics | Advanced Analytics",2025-01-15,Candidate 50,50,No,United States,Tech,1.0,Current Comp,L4 (Senior),180000,Product - Engineering - Software Engineering - IC,L4,221222.0,41222.0,221222.0
Lead Solutions Architect,2025-01-17,Candidate 51,51,Yes,United States,Non-tech,1.0,Current Comp,L4 (Senior),205000,GTM - Solutions Engineering - Solutions Engineering - IC,L5,180147.0,-24853.0,202538.0
Lead Solutions Architect,2025-01-17,Candidate 52,52,Yes,United States,Non-tech,1.0,Current Comp,L5 (Staff),250000,GTM - Solutions Engineering - Solutions Engineering - IC,L5,202538.0,-47462.0,202538.0
"Senior Software Engineer, Core Data Ingestion (LATAM)",2025-01-20,Candidate 53,53,Yes,Brazil,Tech,0.597,Current Comp,L4 (Senior),37000,Product - Engineering - Software Engineering - IC,L4,132069.53399999999,95069.53,132069.53399999999
"Senior or Staff Software Engineer, Data Platform (LATAM)",2025-01-20,Candidate 54,54,Yes,Brazil,Tech,0.597,Expected,L4 (Senior),120000,Product - Engineering - Software Engineering - IC,L4,132069.53399999999,12069.529999999999,132069.53399999999
"Senior or Staff Software Engineer, Data Platform (LATAM)",2025-01-20,Candidate 55,55,No,Brazil,Tech,0.597,Current Comp,L4 (Senior),96000,Product - Engineering - Software Engineering - IC,L4,132069.53399999999,36069.53,132069.53399999999
"Senior Software Engineer, Core Data Ingestion (LATAM)",2025-01-20,Candidate 56,56,No,Brazil,Tech,0.597,Expected,L4 (Senior),72000,Product - Engineering - Software Engineering - IC,L4,132069.53399999999,60069.53,132069.53399999999
"Senior Software Engineer, Core Data Ingestion (LATAM)",2025-01-20,Candidate 57,57,Yes,Brazil,Tech,0.597,Expected,L4 (Senior),78000,Product - Engineering - Software Engineering - IC,L4,132069.53399999999,54069.53,132069.53399999999
"Senior or Staff Software Engineer, Data Platform (LATAM)",2025-01-20,Candidate 58,58,Yes,Brazil,Tech,0.597,Current Comp,L4 (Senior),108000,Product - Engineering - Software Engineering - IC,L4,132069.53399999999,24069.53,132069.53399999999
"Senior or Staff Software Engineer, Data Platform (LATAM)",2025-01-20,Candidate 59,59,Yes,Brazil,Tech,0.597,Expected,L4 (Senior),96000,Product - Engineering - Software Engineering - IC,L4,132069.53399999999,36069.53,132069.53399999999
Lead Solutions Architect,2025-01-21,Candidate 60,60,Yes,United States,Non-tech,1.0,Expected,L5 (Staff),230000,GTM - Solutions Engineering - Solutions Engineering - IC,L5,202538.0,-27462.0,202538.0
,2025-01-21,Candidate 61,61,Yes,United States,Tech,1.0,Expected,L4 (Senior),230000,Product - Engineering - Software Engineering - IC,L4,221222.0,-8778.0,221222.0
Forward Deployed Engineer - US National Security,2025-01-21,Candidate 62,62,Yes,United States,Tech,1.0,Expected,L5 (Staff),270000,Product - Engineering - Forward Deployed Engineering - IC,L4,312237.0,42237.119999999995,265466.0
"Senior or Staff Software Engineer, Blockchain Infrastructure | Core Data Ingestion",2025-01-21,Candidate 63,63,Yes,United States,Tech,1.0,Expected,L5 (Staff),DND,Product - Engineering - Software Engineering - IC,L5,265000.0,,265000.0
"Senior or Staff Software Engineer, Blockchain Infrastructure | Core Data Ingestion",2025-01-21,Candidate 64,64,No,United States,Tech,1.0,Expected,L5 (Staff),DND,Product - Engineering - Software Engineering - IC,L5,265000.0,,265000.0
"Senior Software Engineer, Frontend | Product Engineering",2025-01-22,Candidate 65,65,Yes,Brazil,Tech,0.597,Expected,L4 (Senior),110000,Product - Engineering - Software Engineering - IC,L4,132069.53399999999,22069.53,132069.53399999999
"Software Engineer, Backend | Product Engineering (LATAM)",2025-01-22,Candidate 66,66,Yes,United States,Tech,1.0,Current Comp,L4 (Senior),220000,Product - Engineering - Software Engineering - IC,L4,221222.0,1222.0,221222.0
"Senior or Staff Software Engineer, Data Platform (LATAM)",2025-01-22,Candidate 67,67,Yes,United States,Tech,1.0,Current Comp,L5 (Staff),240000,Product - Engineering - Software Engineering - IC,L5,265000.0,25000.0,265000.0
"Senior or Staff Software Engineer, Blockchain Infrastructure | Core Data Ingestion",2025-01-22,Candidate 68,68,No,United States,Tech,1.0,Expected,L4 (Senior),180000,Product - Engineering - Software Engineering - IC,L4,221222.0,41222.0,221222.0
"Senior or Staff Software Engineer, Blockchain Infrastructure | Core Data Ingestion",2025-01-22,Candidate 69,69,No,United States,Tech,1.0,Expected,L4 (Senior),204000,Product - Engineering - Software Engineering - IC,L4,221222.0,17222.0,221222.0
Senior or Staff Software Engineer - Graph Analytics,2025-01-24,Candidate 70,70,No,United States,Tech,1.0,Expected,L5 (Staff),250000,Product - Engineering - Software Engineering - IC,L5,265000.0,15000.0,265000.0
"Software Engineer, Backend | Product Engineering (LATAM)",2025-01-27,Candidate 71,71,Yes,Argentina,Tech,0.503,Current Comp,L4 (Senior),120000,Product - Engineering - Software Engineering - IC,L4,111274.666,-8725.330000000002,111274.666
"Software Engineer, Backend | Product Engineering (LATAM)",2025-01-27,Candidate 72,72,Yes,Brazil,Tech,0.597,Expected,L3 (Mid),78000,Product - Engineering - Software Engineering - IC,L4,113430.0,35430.0,132069.53399999999
"Software Engineer, Backend | Product Engineering (LATAM)",2025-01-27,Candidate 73,73,No,Brazil,Tech,0.597,Expected,L3 (Mid),130000,Product - Engineering - Software Engineering - IC,L4,113430.0,-16570.0,132069.53399999999
"Senior or Staff Software Engineer, Data Platform (LATAM)",2025-01-28,Candidate 74,74,No,United States,Tech,1.0,Expected,L4 (Senior),205000,Product - Engineering - Software Engineering - IC,L4,221222.0,16222.0,221222.0
"Senior or Staff Software Engineer, Data Platform (LATAM)",2025-01-28,Candidate 75,75,Yes,United States,Tech,1.0,Current Comp,L4 (Senior),236000,Product - Engineering - Software Engineering - IC,L4,221222.0,-14778.0,221222.0
Forward Deployed Engineer - US National Security,2025-01-28,Candidate 76,76,Yes,United States,Tech,1.0,TRM Pay Band,L4 (Senior),240000,Product - Engineering - Forward Deployed Engineering - IC,L4,265466.0,25465.919999999984,265466.0
Forward Deployed Engineer - US National Security,2025-01-28,Candidate 77,77,No,United States,Tech,1.0,Expected,L4 (Senior),DND,Product - Engineering - Forward Deployed Engineering - IC,L4,265466.0,,265466.0
"Senior or Staff Software Engineer, Blockchain Infrastructure | Core Data Ingestion",2025-01-29,Candidate 78,78,No,United States,Tech,1.0,Expected,L4 (Senior),DND,Product - Engineering - Software Engineering - IC,L4,221222.0,,221222.0
"Senior or Staff Software Engineer, Database Infrastructure",2025-01-30,Candidate 79,79,Yes,United States,Tech,1.0,Current Comp,L5 (Staff),190000,Product - Engineering - Software Engineering - IC,L5,265000.0,75000.0,265000.0
"Senior or Staff Software Engineer, Database Infrastructure",2025-01-30,Candidate 80,80,Yes,United States,Tech,1.0,Expected,L5 (Staff),310000,Product - Engineering - Software Engineering - IC,L5,265000.0,-45000.0,265000.0
Senior or Staff Software Engineer - Graph Analytics,2025-01-30,Candidate 81,81,Yes,United States,Tech,1.0,Current Comp,L4 (Senior),220000,Product - Engineering - Software Engineering - IC,L4,221222.0,1222.0,221222.0
"Senior or Staff Software Engineer, Blockchain Infrastructure | Core Data Ingestion",2025-01-30,Candidate 82,82,Yes,United States,Tech,1.0,Current Comp,L4 (Senior),DND,Product - Engineering - Software Engineering - IC,L4,221222.0,,221222.0
"Senior or Staff Software Engineer, Blockchain Infrastructure | Core Data Ingestion",2025-01-30,Candidate 83,83,Yes,United States,Tech,1.0,Current Comp,L4 (Senior),210000,Product - Engineering - Software Engineering - IC,L4,221222.0,11222.0,221222.0
"Senior or Staff Software Engineer, Database Infrastructure",2025-01-31,Candidate 84,84,Yes,United States,Tech,1.0,Expected,L4 (Senior),210000,Product - Engineering - Software Engineering - IC,L4,221222.0,11222.0,221222.0
Forward Deployed Engineer - US National Security,2025-01-31,Candidate 85,85,Yes,United States,Tech,1.0,Current Comp,L5 (Staff),295000,Product - Engineering - Forward Deployed Engineering - IC,L4,312237.0,17237.119999999995,265466.0
Forward Deployed Engineer - US National Security,2025-01-31,Candidate 86,86,Yes,United States,Tech,1.0,Current Comp,L5 (Staff),280000,Product - Engineering - Forward Deployed Engineering - IC,L4,312237.0,32237.119999999995,265466.0
Head of Strategic Finance,2025-02-03,Candidate 87,87,Yes,United States,Non-tech,1.0,Expected,M4 (Manager),275000,Operations - Finance - FP&A - Mgmt,M4,225000.0,-50000.0,225000.0
Forward Deployed Engineer - US National Security,2025-02-03,Candidate 88,88,Yes,United States,Tech,1.0,Current Comp,L5 (Staff),285000,Product - Engineering - Forward Deployed Engineering - IC,L4,312237.0,27237.119999999995,265466.0
"Senior or Staff Software Engineer, Database Infrastructure",2025-02-04,Candidate 89,89,No,United States,Tech,1.0,Expected,L4 (Senior),225000,Product - Engineering - Software Engineering - IC,L4,221222.0,-3778.0,221222.0
Forward Deployed Engineer - US National Security,2025-02-05,Candidate 90,90,Yes,United States,Tech,1.0,Current Comp,L5 (Staff),320000,Product - Engineering - Forward Deployed Engineering - IC,L4,312237.0,-7762.880000000005,265466.0
Lead Solutions Architect,2025-02-05,Candidate 91,91,Yes,United States,Non-tech,1.0,Expected,L4 (Senior),230000,GTM - Solutions Engineering - Solutions Engineering - IC,L5,180147.0,-49853.0,202538.0
"Senior Software Engineer, Core Data Ingestion (LATAM)",2025-02-07,Candidate 92,92,Yes,Brazil,Tech,0.597,Current Comp,L3 (Mid),54000,Product - Engineering - Software Engineering - IC,L3,113430.0,59430.0,113430.0
"Senior or Staff Software Engineer, Blockchain Infrastructure | Core Data Ingestion",2025-02-10,Candidate 93,93,Yes,United States,Tech,1.0,Current Comp,L4 (Senior),230000,Product - Engineering - Software Engineering - IC,L4,221222.0,-8778.0,221222.0
Lead Solutions Architect,2025-02-10,Candidate 94,94,Yes,United States,Non-tech,1.0,Current Comp,L4 (Senior),300000,GTM - Solutions Engineering - Solutions Engineering - IC,L5,180147.0,-119853.0,202538.0
Lead Solutions Architect,2025-02-10,Candidate 95,95,Yes,United States,Non-tech,1.0,Current Comp,L4 (Senior),185000,GTM - Solutions Engineering - Solutions Engineering - IC,L5,180147.0,-4853.0,202538.0
"Senior or Staff Software Engineer, Database Infrastructure",2025-02-12,Candidate 98,98,Yes,United States,Tech,1.0,Current Comp,L5 (Staff),235000,Product - Engineering - Software Engineering - IC,L5,265000.0,30000.0,265000.0
Senior or Staff Software Engineer - Graph Analytics,2025-02-12,Candidate 99,99,Yes,United States,Tech,1.0,TRM Pay Band,L4 (Senior),215000,Product - Engineering - Software Engineering - IC,L4,221222.0,6222.0,221222.0
"Senior or Staff Software Engineer, Data Product",2025-02-12,Candidate 100,100,Yes,United States,Tech,1.0,Current Comp,L4 (Senior),242000,Product - Engineering - Software Engineering - IC,L4,221222.0,-20778.0,221222.0
Senior or Staff Software Engineer - Graph Analytics,2025-02-12,Candidate 101,101,Yes,United States,Tech,1.0,Expected,L4 (Senior),205000,Product - Engineering - Software Engineering - IC,L4,221222.0,16222.0,221222.0
Senior or Staff Software Engineer - Graph Analytics,2025-02-12,Candidate 102,102,Yes,United States,Tech,1.0,TRM Pay Band,L4 (Senior),215000,Product - Engineering - Software Engineering - IC,L4,221222.0,6222.0,221222.0
"Senior or Staff Software Engineer, Data Platform (LATAM)",2025-02-12,Candidate 103,103,Yes,United States,Tech,1.0,Expected,L4 (Senior),225000,Product - Engineering - Software Engineering - IC,L4,221222.0,-3778.0,221222.0
Senior or Staff Software Engineer - Graph Analytics,2025-02-12,Candidate 104,104,Yes,United States,Tech,1.0,Expected,L4 (Senior),210000,Product - Engineering - Software Engineering - IC,L4,221222.0,11222.0,221222.0
Forward Deployed Engineer - US National Security,2025-02-12,Candidate 105,105,Yes,United States,Tech,1.0,Current Comp,L4 (Senior),260000,Product - Engineering - Forward Deployed Engineering - IC,L4,265466.0,5465.919999999984,265466.0
Head of Strategic Finance,2025-02-16,Candidate 106,106,Yes,United States,Non-tech,1.0,Expected,M5 (Director),170000,Operations - Finance - FP&A - Mgmt,M4,250000.0,80000.0,225000.0
AI Engineer,2025-02-20,Candidate 107,107,Yes,United States,Tech,1.0,Expected,L5 (Staff),262000,Product - Engineering - Machine Learning Engineering - IC,L4,257601.0,-4399.299999999988,231951.0
Lead Solutions Architect,2025-02-20,Candidate 108,108,Yes,United States,Non-tech,1.0,Current Comp,L4 (Senior),175000,GTM - Solutions Engineering - Solutions Engineering - IC,L5,180147.0,5147.0,202538.0
Forward Deployed Engineer - US National Security,2025-02-18,Candidate 109,109,Yes,United States,Tech,1.0,Current Comp,L4 (Senior),230000,Product - Engineering - Forward Deployed Engineering - IC,L4,265466.0,35465.919999999984,265466.0
Lead Solutions Architect,2025-02-18,Candidate 110,110,No,United States,Non-tech,1.0,Current Comp,L4 (Senior),DND,GTM - Solutions Engineering - Solutions Engineering - IC,L5,180147.0,,202538.0
Lead Solutions Architect,2025-02-20,Candidate 111,111,No,United States,Tech,1.0,Current Comp,L4 (Senior),210000,GTM - Solutions Engineering - Solutions Engineering - IC,L5,180147.0,-29853.0,202538.0
Head of Strategic Finance,2025-02-21,Candidate 112,112,Yes,United States,Non-tech,1.0,Expected,M5 (Director),240000,Operations - Finance - FP&A - Mgmt,M4,250000.0,10000.0,225000.0
Lead Solutions Architect,2025-02-24,Candidate 113,113,Yes,United States,Non-tech,1.0,Current Comp,L4 (Senior),220000,GTM - Solutions Engineering - Solutions Engineering - IC,L5,180147.0,-39853.0,202538.0
AI Engineer,2025-02-25,Candidate 114,114,Yes,Germany,Tech,0.819,Expected,L4 (Senior),150000,Product - Engineering - Machine Learning Engineering - IC,L4,189967.86899999998,39967.619999999995,189967.86899999998
Forward Deployed Engineer - US National Security,2025-02-25,Candidate 115,115,No,United States,Tech,1.0,Current Comp,L3 (Mid),200000,Product - Engineering - Forward Deployed Engineering - IC,L4,229984.0,29984.320000000007,265466.0
Forward Deployed Engineer - US National Security,2025-02-25,Candidate 116,116,Yes,United States,Tech,1.0,Current Comp,L4 (Senior),260000,Product - Engineering - Forward Deployed Engineering - IC,L4,265466.0,5465.919999999984,265466.0
Lead Solutions Architect,2025-02-26,Candidate 117,117,Yes,United States,Non-tech,1.0,Current Comp,L4 (Senior),230000,GTM - Solutions Engineering - Solutions Engineering - IC,L5,180147.0,-49853.0,202538.0
"Senior or Staff Software Engineer, Blockchain Infrastructure | Core Data Ingestion",2025-02-26,Candidate 118,118,No,United States,Tech,1.0,Current Comp,L4 (Senior),200000,Product - Engineering - Software Engineering - IC,L4,221222.0,21222.0,221222.0
Forward Deployed Engineer - US National Security,2025-02-27,Candidate 119,119,Yes,United States,Tech,1.0,Current Comp,L4 (Senior),290000,Product - Engineering - Forward Deployed Engineering - IC,L4,265466.0,-24534.080000000016,265466.0
Forward Deployed Engineer - US National Security,2025-02-27,Candidate 120,120,Yes,United States,Tech,1.0,Current Comp,L4 (Senior),270000,Product - Engineering - Forward Deployed Engineering - IC,L4,265466.0,-4534.080000000016,265466.0
Lead Solutions Architect,2025-02-28,Candidate 121,121,Yes,United States,Non-tech,1.0,Current Comp,L4 (Senior),208000,GTM - Solutions Engineering - Solutions Engineering - IC,L5,180147.0,-27853.0,202538.0
Forward Deployed Engineer - US National Security,2025-02-28,Candidate 122,122,Yes,United States,Tech,1.0,Current Comp,L4 (Senior),250000,Product - Engineering - Forward Deployed Engineering - IC,L4,265466.0,15465.919999999984,265466.0
AI Engineer,2025-03-03,Candidate 124,124,Yes,Austria,Tech,0.8,Expected,L4 (Senior),220000,Product - Engineering - Machine Learning Engineering - IC,L4,185560.80000000002,-34439.44,185560.80000000002
Lead Solutions Architect,2025-03-04,Candidate 125,125,No,United States,Non-tech,1.0,Current Comp,L4 (Senior),260000,GTM - Solutions Engineering - Solutions Engineering - IC,L5,180147.0,-79853.0,202538.0
"Software Engineer, Infrastructure",2025-03-05,Candidate 127,127,Yes,United States,Tech,1.0,Current Comp,L4 (Senior),200000,Product - Engineering - Software Engineering - IC,L4,221222.0,21222.0,221222.0
Lead Solutions Architect,2025-03-06,Candidate 128,128,No,United States,Non-tech,1.0,Current Comp,L5 (Staff),200000,GTM - Solutions Engineering - Solutions Engineering - IC,L5,202538.0,2538.0,202538.0
Forward Deployed Engineer - US National Security,2025-03-10,Candidate 130,130,Yes,United States,Tech,1.0,Current Comp,L4 (Senior),270000,Product - Engineering - Forward Deployed Engineering - IC,L4,265466.0,-4534.080000000016,265466.0
"Software Engineer, Infrastructure",2025-03-10,Candidate 131,131,No,United States,Tech,1.0,Current Comp,L4 (Senior),180000,Product - Engineering - Software Engineering - IC,L4,221222.0,41222.0,221222.0
"Software Engineer, Backend | Product Engineering (LATAM)",2025-03-11,Candidate 132,132,Yes,United States,Tech,1.0,TRM Pay Band,L4 (Senior),210000,Product - Engineering - Software Engineering - IC,L4,221222.0,11222.0,221222.0
"Software Engineer, Backend | Product Engineering (LATAM)",2025-03-11,Candidate 133,133,Yes,Brazil,Tech,0.597,Expected,L4 (Senior),100000,Product - Engineering - Software Engineering - IC,L4,132069.53399999999,32069.53,132069.53399999999
"Software Engineer, Backend | Product Engineering (LATAM)",2025-03-11,Candidate 134,134,No,Argentina,Tech,0.503,Expected,L3 (Mid),72000,Product - Engineering - Software Engineering - IC,L4,95570.0,23570.0,111274.666
"Software Engineer, Backend | Product Engineering (LATAM)",2025-03-11,Candidate 135,135,No,United States,Tech,1.0,Expected,L3 (Mid),130000,Product - Engineering - Software Engineering - IC,L4,190000.0,60000.0,221222.0
