Role Name,Date,Candidate Name + GH URL,High Potential?,Location,Tech/Non-Tech/Quota Carrying,Geo Factor,Comp Type,Current Level,$ Base Comp,Final Pay Band,TRM Level,TRM Cash,Candidate Number
Counsel | Legal,2025-04-30,Candidate 261,,,Tech,,,,,Product - Engineering - Software Engineering - Mgmt,L4,0.0,261
"Senior Software Engineer, Data Product (LATAM)",2025-05-02,Candidate 264,No,Argentina,Tech,0.503,Expected,L4 (Senior),,Product - Engineering - Software Engineering - IC,L4,111274.67,264
"Senior Software Engineer, Backend | Product Engineering (United States)",2025-05-08,Candidate 265,No,United States,Tech,1.0,Expected,L3 (Mid),,Product - Engineering - Software Engineering - IC,L5,190000.0,265
"Senior Software Engineer, Data Product (LATAM)",2025-04-30,Candidate 266,No,Brazil,Tech,0.597,Expected,L4 (Senior),,Product - Engineering - Software Engineering - IC,L4,132069.53,266
"Senior Software Engineer, Data Product (US / US PERM)",2025-04-26,Candidate 272,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L4,0.0,272
"Senior Software Engineer, Data Product (US / US PERM)",2025-05-01,Candidate 273,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L4,0.0,273
"Senior Software Engineer, Data Platform (US / US PERM)",2025-05-07,Candidate 274,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L4,0.0,274
"Senior Software Engineer, Data Product (LATAM)",2025-04-14,Candidate 275,No,Brazil,Tech,0.597,Expected,L4 (Senior),,Product - Engineering - Software Engineering - IC,L4,132069.53,275
Senior MLOps Engineer,2025-03-11,Candidate 279,,Brazil,Tech,0.597,Expected,L5 (Staff),,Product - Engineering - Software Engineering - IC,L5,158205.0,279
Head of Product Engineering,2025-05-14,Candidate 282,,,Tech,,,,,Product - Engineering - Software Engineering - Mgmt,M5,0.0,282
"Senior Software Engineer, Data Product (US / US PERM)",2025-05-09,Candidate 287,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L4,0.0,287
"Senior Software Engineer, Backend | Product Engineering (United States)",2025-05-14,Candidate 291,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L4,0.0,291
Senior MLOps Engineer,2025-05-05,Candidate 293,Yes,United Kingdom,Tech,0.961,Expected,L6 (Principal),,Product - Engineering - Software Engineering - IC,L5,307520.0,293
"Senior Software Engineer, Data Product (US / US PERM)",2025-04-25,Candidate 295,Yes,United States,Tech,1.0,Expected,L4 (Senior),,Product - Engineering - Software Engineering - IC,L4,221222.0,295
Software Engineer | Core Data Ingestion,2025-05-17,Candidate 301,Yes,Egypt,Tech,0.5,Offer,L3 (Mid),,Product - Engineering - Software Engineering - IC,L3,95000.0,301
"Senior Software Engineer, Data Product (US / US PERM)",2025-05-13,Candidate 303,,United States,Tech,1.0,,,,Product - Engineering - Software Engineering - IC,L4,0.0,303
Senior MLOps Engineer,2025-05-12,Candidate 304,No,Brazil,Tech,0.597,Current Comp,L4 (Senior),,Product - Engineering - Software Engineering - IC,L5,132069.53,304
"Senior Software Engineer, Backend | Product Engineering (United States)",2025-05-21,Candidate 305,,,Tech,,,,,Product - Engineering - Software Engineering - Mgmt,L5,0.0,305
"Software Engineer, Full Stack | Product Engineering (United States)",2025-05-19,Candidate 307,,,Tech,,,,,Product - Engineering - Software Engineering - IC,,0.0,307
"Software Engineer, Full Stack | Product Engineering (United States)",2025-05-21,Candidate 308,,,Tech,,,,,Product - Engineering - Software Engineering - IC,,0.0,308
"Senior Software Engineer, Infrastructure",2025-05-20,Candidate 310,No,United States,Tech,1.0,,L4 (Senior),,Product - Engineering - Software Engineering - IC,L4,221222.0,310
Senior MLOps Engineer,2025-05-07,Candidate 314,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L5,0.0,314
"Senior Software Engineer, Data Product (LATAM)",2025-05-08,Candidate 315,Yes,United States,Tech,1.0,Expected,L5 (Staff),,Product - Engineering - Software Engineering - IC,L4,265000.0,315
Forward Deployed Data Engineer (TS/SCI),2025-05-14,Candidate 321,No,United States,Tech,1.0,,L4 (Senior),,Product - Engineering - Forward Deployed Engineering - IC,L5,265465.92,321
"Senior or Staff Software Engineer, SIGINT",2025-05-15,Candidate 322,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L4,0.0,322
"Senior Software Engineer, Data Product (LATAM)",2025-04-17,Candidate 323,No,Brazil,Tech,0.597,Expected,L4 (Senior),,Product - Engineering - Software Engineering - IC,L4,132069.53,323
"Senior Software Engineer, Data Product (US / US PERM)",2025-05-16,Candidate 325,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L4,0.0,325
Senior MLOps Engineer,2025-05-15,Candidate 326,Yes,United States,Tech,1.0,Expected,L4 (Senior),,Product - Engineering - Software Engineering - IC,L5,221222.0,326
"Senior Software Engineer, Data Product (US / US PERM)",2025-04-30,Candidate 327,Yes,United States,Tech,1.0,Expected,L4 (Senior),,Product - Engineering - Software Engineering - IC,L4,221222.0,327
Head of Product Engineering,2025-05-19,Candidate 333,,,Tech,,,,,Product - Engineering - Software Engineering - Mgmt,M5,0.0,333
Senior MLOps Engineer,2025-05-19,Candidate 334,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L5,0.0,334
"Senior or Staff Software Engineer, SIGINT",2025-05-26,Candidate 335,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L4,0.0,335
Head of Product Engineering,2025-05-23,Candidate 337,,,Tech,,,,,Product - Engineering - Software Engineering - Mgmt,L4,0.0,337
Senior MLOps Engineer,2025-05-19,Candidate 340,Yes,Canada,Tech,1.0,Current Comp,L4 (Senior),,Product - Engineering - Software Engineering - IC,L5,221222.0,340
"Senior or Staff Software Engineer, SIGINT",2025-05-28,Candidate 341,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L4,0.0,341
"Senior Software Engineer, Backend | Product Engineering (United States)",2025-05-24,Candidate 344,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L5,0.0,344
"Staff Software Engineer, Backend | Product Engineering (United States)",2025-05-22,Candidate 348,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L5,0.0,348
Head of Product Engineering,2025-05-27,Candidate 350,,,Tech,,,,,Product - Engineering - Software Engineering - Mgmt,M5,0.0,350
"Senior Software Engineer, Data Product (US / US PERM)",2025-05-02,Candidate 351,Yes,United States,Tech,1.0,Expected,L4 (Senior),,Product - Engineering - Software Engineering - IC,L4,221222.0,351
"Senior Software Engineer, Infrastructure",2025-05-28,Candidate 352,No,United States,Tech,1.0,,L4 (Senior),,Product - Engineering - Software Engineering - IC,L4,221222.0,352
Senior MLOps Engineer,2025-05-15,Candidate 355,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L5,0.0,355
Senior MLOps Engineer,2025-04-22,Candidate 357,Yes,Brazil,Tech,0.597,Expected,L4 (Senior),,Product - Engineering - Software Engineering - IC,L5,132069.53,357
Head of Product Engineering,2025-06-06,Candidate 361,,,Tech,,,,,Product - Engineering - Software Engineering - Mgmt,M5,0.0,361
"Software Engineer, Full Stack | Product Engineering (United States)",2025-05-22,Candidate 365,,,Tech,,,,,Product - Engineering - Software Engineering - IC,,0.0,365
"Senior Software Engineer, Backend | Product Engineering (United States)",2025-05-24,Candidate 370,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L5,0.0,370
"Software Engineer, Data Product (US / US PERM)",2025-06-11,Candidate 371,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L3,0.0,371
Senior MLOps Engineer,2025-04-17,Candidate 376,Yes,Brazil,Tech,0.597,Expected,L5 (Staff),,Product - Engineering - Software Engineering - IC,L5,158205.0,376
"Mid or Senior Software Engineer, Full Stack | Product Engineering (LATAM)",2025-05-30,Candidate 378,No,Brazil,Tech,0.597,Expected,L4 (Senior),,Product - Engineering - Software Engineering - IC,L3,132069.53,378
"Senior Software Engineer, Data Product (US / US PERM)",2025-06-10,Candidate 380,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L4,0.0,380
"Senior Software Engineer, Frontend | Product Engineering (LATAM)",2025-06-13,Candidate 382,No,Brazil,Tech,0.597,Expected,L4 (Senior),,Product - Engineering - Software Engineering - IC,L4,132069.53,382
"Software Engineer, Data Product (LATAM)",2025-06-09,Candidate 386,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L3,0.0,386
"Senior Software Engineer, Data Platform (LATAM)",2025-06-16,Candidate 387,,,Tech,,,,,Product - Engineering - Software Engineering - IC,,0.0,387
"Senior Software Engineer, Backend | Product Engineering (LATAM)",2025-06-11,Candidate 388,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L4,0.0,388
"Senior Software Engineer, Data Product (US / US PERM)",2025-06-13,Candidate 389,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L4,0.0,389
"Senior Software Engineer, Backend | Product Engineering (United States)",2025-06-04,Candidate 390,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L5,0.0,390
"Senior Software Engineer, Data Product (US / US PERM)",2025-06-07,Candidate 391,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L4,0.0,391
"Senior Software Engineer, Full Stack | Product Engineering (LATAM)",2025-06-11,Candidate 392,No,Brazil,Tech,0.597,Expected,L4 (Senior),,Product - Engineering - Software Engineering - IC,L4,132069.53,392
"Senior Software Engineer, Data Product (LATAM)",2025-06-17,Candidate 393,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L4,0.0,393
Senior MLOps Engineer,2025-06-12,Candidate 394,No,United States,Tech,1.0,Expected,L4 (Senior),,Product - Engineering - Software Engineering - IC,L5,221222.0,394
"Senior Software Engineer, Data Product (LATAM)",2025-06-18,Candidate 395,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L4,0.0,395
Senior MLOps Engineer,2025-06-17,Candidate 396,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L5,0.0,396
"Senior Software Engineer, Data Platform (LATAM)",2025-06-16,Candidate 399,,,Tech,,,,,Product - Engineering - Software Engineering - IC,,0.0,399
"Senior Software Engineer, Data Product (LATAM)",2025-06-12,Candidate 400,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L4,0.0,400
"Senior Software Engineer, Data Product (LATAM)",2025-06-19,Candidate 401,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L4,0.0,401
"Senior Software Engineer, Backend | Product Engineering (United States)",2025-06-10,Candidate 404,No,Canada,Tech,1.0,Expected,L3 (Mid),,Product - Engineering - Software Engineering - IC,L5,190000.0,404
"Senior Software Engineer, Frontend | Product Engineering (LATAM)",2025-06-20,Candidate 405,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L4,0.0,405
"Mid or Senior Software Engineer, Full Stack | Product Engineering (United States)",2025-06-06,Candidate 407,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L4,0.0,407
"Senior Software Engineer, Data Product (LATAM)",2025-06-12,Candidate 408,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L4,0.0,408
"Senior Software Engineer, Frontend | Product Engineering (LATAM)",2025-06-18,Candidate 410,No,Brazil,Tech,0.597,Current Comp,L3 (Mid),,Product - Engineering - Software Engineering - IC,L4,113430.0,410
"Senior Software Engineer, Frontend | Product Engineering (LATAM)",2025-06-16,Candidate 412,No,Brazil,Tech,0.597,Expected,L3 (Mid),,Product - Engineering - Software Engineering - IC,L4,113430.0,412
"Senior Software Engineer, Data Product (LATAM)",2025-06-12,Candidate 415,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L4,0.0,415
Senior MLOps Engineer,2025-05-30,Candidate 416,Yes,United States,Tech,1.0,Expected,L4 (Senior),,Product - Engineering - Software Engineering - IC,L5,221222.0,416
"Senior Software Engineer, Data Product (LATAM)",2025-06-12,Candidate 418,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L4,0.0,418
Head of Product Engineering,2025-06-17,Candidate 420,,,Tech,,,,,Product - Engineering - Software Engineering - Mgmt,M5,0.0,420
Head of Product Engineering,2025-06-23,Candidate 421,,,Tech,,,,,Product - Engineering - Software Engineering - Mgmt,M5,0.0,421
"Senior Software Engineer, Frontend | Product Engineering (LATAM)",2025-06-17,Candidate 424,No,Argentina,Tech,0.503,Expected,L5 (Staff),,Product - Engineering - Software Engineering - IC,L4,133295.0,424
"Senior Software Engineer, Data Product (LATAM)",2025-06-24,Candidate 425,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L4,0.0,425
"Senior Software Engineer, Data Product (LATAM)",2025-06-24,Candidate 426,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L4,0.0,426
Senior MLOps Engineer,2025-06-12,Candidate 427,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L5,0.0,427
"Mid or Senior Software Engineer, Full Stack | Product Engineering (LATAM)",2025-05-30,Candidate 428,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L3,0.0,428
Senior MLOps Engineer,2025-05-05,Candidate 431,No,United States,Tech,1.0,Expected,L5 (Staff),,Product - Engineering - Software Engineering - IC,L5,265000.0,431
"Senior Software Engineer, Data Product (US / US PERM)",2025-06-16,Candidate 432,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L4,0.0,432
"Senior Software Engineer, Data Infrastructure (RDBMS)",2025-06-19,Candidate 433,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L4,0.0,433
"Mid or Senior Software Engineer, Full Stack | Product Engineering (United States)",2025-06-11,Candidate 434,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L4,0.0,434
Senior MLOps Engineer,2025-05-15,Candidate 435,Yes,United States,Tech,1.0,Expected,L4 (Senior),,Product - Engineering - Software Engineering - IC,L5,221222.0,435
"Senior Software Engineer, Backend | Product Engineering (LATAM)",2025-06-16,Candidate 438,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L4,0.0,438
"Mid or Senior Software Engineer, Full Stack | Product Engineering (LATAM)",2025-06-25,Candidate 439,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L3,0.0,439
"Senior Software Engineer, Data Product (US / US PERM)",2025-06-24,Candidate 440,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L4,0.0,440
"Software Engineer, Data Product (US / US PERM)",2025-06-26,Candidate 441,,United States,Tech,1.0,Expected,L3 (Mid),210000,Product - Engineering - Software Engineering - IC,L3,190000.0,441
"Senior Software Engineer, Backend | Product Engineering (United States)",2025-06-04,Candidate 444,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L5,0.0,444
Senior MLOps Engineer,2025-05-14,Candidate 446,No,United States,Tech,1.0,Expected,L5 (Staff),,Product - Engineering - Software Engineering - IC,L5,265000.0,446
Forward Deployed Data Engineer (TS/SCI),2025-06-30,Candidate 447,,,Tech,,,,,Product - Engineering - Forward Deployed Engineering - IC,L5,0.0,447
"Senior Software Engineer, Data Product (LATAM)",2025-06-27,Candidate 448,No,Brazil,Tech,0.597,Current Comp,L4 (Senior),,Product - Engineering - Software Engineering - IC,L4,132069.53,448
"Senior Software Engineer, Backend | Product Engineering (United States)",2025-06-21,Candidate 449,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L5,0.0,449
"Senior Software Engineer, Data Product (LATAM)",2025-06-13,Candidate 453,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L4,0.0,453
"Senior Software Engineer, Data Product (LATAM)",2025-06-16,Candidate 454,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L4,0.0,454
Head of Product Engineering,2025-05-23,Candidate 455,,,Tech,,,,,Product - Engineering - Software Engineering - Mgmt,M5,0.0,455
"Senior Software Engineer, Backend | Product Engineering (LATAM)",2025-05-06,Candidate 456,,,Tech,,Expected,,8000,Product - Engineering - Software Engineering - IC,L4,0.0,456
"Senior Software Engineer, Frontend | Product Engineering (LATAM)",2025-06-26,Candidate 457,No,Brazil,Tech,0.597,Expected,L4 (Senior),,Product - Engineering - Software Engineering - IC,L4,132069.53,457
Head of Product Engineering,2025-07-02,Candidate 459,,,Tech,,,,,Product - Engineering - Software Engineering - Mgmt,M5,0.0,459
"Senior Software Engineer, Frontend | Product Engineering (LATAM)",2025-07-02,Candidate 460,No,Brazil,Tech,0.597,Expected,L4 (Senior),,Product - Engineering - Software Engineering - IC,L4,132069.53,460
"Senior Software Engineer, Data Product (LATAM)",2025-07-01,Candidate 463,No,Argentina,Tech,0.503,Current Comp,L4 (Senior),,Product - Engineering - Software Engineering - IC,L4,111274.67,463
"Senior Software Engineer, Data Platform (US / US PERM)",2025-07-07,Candidate 466,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L4,0.0,466
"Senior Software Engineer, Frontend | Product Engineering (LATAM)",2025-07-04,Candidate 468,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L4,0.0,468
"Senior Software Engineer, Frontend | Product Engineering (LATAM)",2025-06-21,Candidate 469,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L4,0.0,469
"Senior or Staff Software Engineer, SIGINT",2025-06-18,Candidate 470,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L4,0.0,470
"Senior Software Engineer, Data Product (LATAM)",2025-07-08,Candidate 471,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L4,0.0,471
"Mid or Senior Software Engineer, Full Stack | Product Engineering (LATAM)",2025-06-24,Candidate 472,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L3,0.0,472
"Mid or Senior Software Engineer, Full Stack | Product Engineering (United States)",2025-06-23,Candidate 473,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L4,0.0,473
Forward Deployed Data Engineer (TS/SCI),2025-07-03,Candidate 475,No,United States,Tech,1.0,,L4 (Senior),,Product - Engineering - Forward Deployed Engineering - IC,L5,265465.92,475
"Senior Software Engineer, Frontend | Product Engineering (LATAM)",2025-06-23,Candidate 476,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L4,0.0,476
"Senior Software Engineer, Data Product (LATAM)",2025-07-01,Candidate 479,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L4,0.0,479
"Senior Software Engineer, Infrastructure",2025-06-27,Candidate 481,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L4,0.0,481
"Data Science Manager, Attribution",2025-07-09,Candidate 487,,,Tech,,,,,Product - Engineering - Machine Learning Engineering - IC,M4,0.0,487
"Mid or Senior Software Engineer, Full Stack | Product Engineering (United States)",2025-07-08,Candidate 490,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L4,0.0,490
"Mid or Senior Software Engineer, Full Stack | Product Engineering (LATAM)",2025-06-16,Candidate 492,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L3,0.0,492
"Mid or Senior Software Engineer, Full Stack | Product Engineering (LATAM)",2025-06-30,Candidate 493,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L3,0.0,493
"Senior Software Engineer, Data Infrastructure (RDBMS)",2025-07-03,Candidate 497,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L4,0.0,497
"Software Engineer, Data Platform – US",2025-07-02,Candidate 499,No,United States,Tech,1.0,Current Comp,L4 (Senior),,Product - Engineering - Software Engineering - IC,L5,221222.0,499
"Senior Software Engineer, Infrastructure",2025-07-07,Candidate 501,No,United States,Tech,1.0,Current Comp,L4 (Senior),,Product - Engineering - Software Engineering - IC,L4,221222.0,501
"Engineering Manager, Data Engineering",2025-07-07,Candidate 503,,,Tech,,,,,Product - Engineering - Software Engineering - Mgmt,M4,0.0,503
"Mid or Senior Software Engineer, Full Stack | Product Engineering (United States)",2025-07-15,Candidate 504,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L4,0.0,504
"Software Engineer, Data Product (US / US PERM)",2025-07-07,Candidate 507,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L3,0.0,507
"Senior Software Engineer, Data Infrastructure (RDBMS)",2025-07-08,Candidate 508,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L4,0.0,508
"Head of Engineering, AI",2025-07-17,Candidate 511,,,Tech,,,,,Product - Engineering - Software Engineering - Mgmt,M5,0.0,511
Forward Deployed Data Engineer (TS/SCI),2023-04-12,Candidate 514,,,Tech,,,,,Product - Engineering - Forward Deployed Engineering - IC,L5,0.0,514
"Senior Software Engineer, Data Platform (US / US PERM)",2025-07-07,Candidate 515,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L4,0.0,515
Forward Deployed Engineer - US National Security,2025-07-07,Candidate 518,,,Tech,,,,,Product - Engineering - Forward Deployed Engineering - IC,L4,0.0,518
